epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3298,0.88246,3.52625,0.99562,0.03522,0.58667,0.29949,0.23703,0.57458,3.55434,0.83923,0.000362618,0.000362618,0.000362618
2,60.7443,0.81022,3.02969,0.94079,0.84661,0.73416,0.9098,0.73537,0.72428,2.19797,0.88485,0.000708764,0.000708764,0.000708764
3,90.0314,0.80523,2.45593,0.92159,0.91159,0.98985,0.98383,0.7796,0.78924,1.49022,0.89784,0.00103047,0.00103047,0.00103047
4,118.754,0.82911,1.87531,0.92793,0.97055,0.98767,0.99338,0.78836,0.70772,1.26896,0.85963,0.00100101,0.00100101,0.00100101
5,148.263,0.77699,1.63914,0.92071,0.99078,0.97333,0.9935,0.85615,0.56829,1.09356,0.81902,0.000964348,0.000964348,0.000964348
6,177.735,0.70762,1.35991,0.88608,0.93796,0.93656,0.99227,0.8716,0.50306,1.08704,0.8326,0.000927685,0.000927685,0.000927685
7,207.351,0.6307,1.24694,0.88838,0.96024,0.99685,0.995,0.89909,0.4655,1.07634,0.82761,0.000891022,0.000891022,0.000891022
8,236.828,0.57248,1.18192,0.86443,0.99065,0.99307,0.995,0.9044,0.45329,0.92937,0.81531,0.000854359,0.000854359,0.000854359
9,266.745,0.55424,1.0527,0.87051,0.99135,1,0.995,0.90674,0.43467,0.94335,0.81062,0.000817696,0.000817696,0.000817696
10,296.511,0.54918,1.06911,0.88529,0.98532,0.99151,0.995,0.9302,0.37674,0.95668,0.80148,0.000781033,0.000781033,0.000781033
11,326.425,0.52941,1.45557,0.85489,0.97932,0.99112,0.995,0.94103,0.34807,0.90766,0.79703,0.00074437,0.00074437,0.00074437
12,356.309,0.50171,1.04421,0.85417,0.98503,0.99714,0.995,0.93835,0.35026,0.85721,0.80037,0.000707707,0.000707707,0.000707707
13,386.803,0.47673,0.92853,0.83885,0.99392,1,0.995,0.95969,0.31936,0.82673,0.79506,0.000671044,0.000671044,0.000671044
14,416.974,0.45674,0.91465,0.85105,0.99555,1,0.995,0.95248,0.3148,0.7642,0.7888,0.000634381,0.000634381,0.000634381
15,446.588,0.45022,0.8617,0.85157,0.99424,1,0.995,0.94679,0.31117,0.74945,0.79098,0.000597718,0.000597718,0.000597718
16,475.916,0.43359,0.86289,0.83761,0.9929,0.99582,0.995,0.96424,0.28941,0.71397,0.78756,0.000561055,0.000561055,0.000561055
17,505.362,0.44195,0.83248,0.84,0.98738,0.99816,0.995,0.96672,0.28835,0.75013,0.78711,0.000524392,0.000524392,0.000524392
18,534.906,0.39137,0.75996,0.82516,0.99437,0.99881,0.995,0.97726,0.26616,0.67588,0.78287,0.000487729,0.000487729,0.000487729
19,564.347,0.40864,0.9687,0.83592,0.99442,1,0.995,0.97856,0.25102,0.6707,0.78153,0.000451066,0.000451066,0.000451066
20,593.49,0.39256,0.78595,0.84318,0.99602,1,0.995,0.9835,0.24852,0.65214,0.77781,0.000414403,0.000414403,0.000414403
21,622.422,0.31669,0.72784,0.80242,0.99442,1,0.995,0.98358,0.24199,0.67208,0.77566,0.00037774,0.00037774,0.00037774
22,651.754,0.30202,0.71554,0.80075,0.99438,0.99926,0.995,0.98462,0.23501,0.63486,0.77676,0.000341077,0.000341077,0.000341077
23,681.478,0.29846,0.68219,0.80206,0.9948,1,0.995,0.98652,0.22296,0.60899,0.77649,0.000304414,0.000304414,0.000304414
24,711.335,0.28838,0.68796,0.79641,0.99557,1,0.995,0.9914,0.2297,0.5968,0.77664,0.000267751,0.000267751,0.000267751
25,739.87,0.28657,0.66245,0.78956,0.99619,1,0.995,0.98669,0.24181,0.60921,0.77634,0.000231088,0.000231088,0.000231088
26,769.57,0.27143,0.64124,0.79153,0.99569,1,0.995,0.98782,0.21597,0.58687,0.77351,0.000194425,0.000194425,0.000194425
27,799.285,0.26276,0.64724,0.78848,0.99587,1,0.995,0.99033,0.20549,0.58566,0.77214,0.000157762,0.000157762,0.000157762
28,828.701,0.25727,0.63545,0.79061,0.99617,1,0.995,0.99033,0.19511,0.57412,0.77073,0.000121099,0.000121099,0.000121099
29,857.788,0.25118,0.63413,0.7852,0.99643,1,0.995,0.99255,0.1993,0.57221,0.77121,8.4436e-05,8.4436e-05,8.4436e-05
30,887.26,0.26316,0.63959,0.80163,0.9966,1,0.995,0.99255,0.195,0.56381,0.77097,4.7773e-05,4.7773e-05,4.7773e-05
